Date,Nom_Client,Prenom_Client,Email_Client,Produit,Region,Type_Client,Quantité,Prix_Unitaire,Coût_Unitaire,Bonus_%,Heure_d'achat
2026-08-19,Cisse,Omar,omar.cisse574@example.sn,Casque,Tambacounda,Standard,4,1486,853,0%,52655
2026-06-06,Diop,Ibrahima,ibrahima.diop116@example.sn,Souris,Matam,Standard,8,1123,444,0%,77543
2026-02-07,Sow,Amadou,amadou.sow42@example.sn,Laptop,Fatick,Premium,18,410,582,5%,8312
2026-04-07,Diallo,Penda,penda.diallo209@example.sn,Laptop,Kolda,Premium,10,563,680,0%,66316
2026-10-16,Ba,Omar,omar.ba128@example.sn,Imprimante,Tambacounda,Standard,11,1009,291,0%,52408
2026-09-11,Cisse,Omar,omar.cisse809@example.sn,Ecran,Fatick,Premium,7,1139,976,0%,74500
2026-07-15,Cisse,Omar,omar.cisse238@example.sn,Casque,Thies,Standard,5,919,221,0%,44021
2026-03-27,Diallo,Penda,penda.diallo639@example.sn,Souris,Kaolack,Premium,11,264,107,0%,5590
2026-11-18,Gaye,Fatou,fatou.gaye697@example.sn,Tablette,Matam,Standard,18,187,381,10%,16650
2026-01-10,Sow,Fatou,fatou.sow973@example.sn,Laptop,Kolda,Standard,16,926,433,0%,39377
2026-01-05,Diop,Penda,penda.diop194@example.sn,Clavier,Fatick,Standard,19,909,792,0%,64875
2026-05-03,Cisse,Seydou,seydou.cisse839@example.sn,Clavier,Ziguinchor,VIP,5,433,1100,0%,9524
2026-11-26,Diop,Mariama,mariama.diop859@example.sn,Souris,Dakar,Standard,7,528,947,0%,13162
2026-12-19,Diop,Mariama,mariama.diop224@example.sn,Laptop,Kolda,Standard,3,51,378,0%,22926
2026-04-28,Ba,Fatou,fatou.ba742@example.sn,Laptop,Louga,Standard,10,869,839,0%,24837
2026-10-21,Dramé,Awa,awa.dramé139@example.sn,Tablette,Thies,Standard,19,191,1004,10%,38108
2026-06-08,Cisse,Penda,penda.cisse854@example.sn,Souris,Tambacounda,Standard,5,77,832,0%,44890
2026-10-30,Ndiaye,Fatou,fatou.ndiaye281@example.sn,Laptop,Tambacounda,Standard,5,306,182,0%,49026
2026-08-16,Gaye,Awa,awa.gaye767@example.sn,Tablette,Thies,VIP,11,1004,297,0%,44182
2026-12-31,Diop,Mariama,mariama.diop644@example.sn,Clavier,Tambacounda,Premium,19,1059,965,0%,47961
2026-08-04,Cisse,Moussa,moussa.cisse17@example.sn,Tablette,Dakar,VIP,12,1046,335,0%,54905
2026-07-03,Gaye,Fatou,fatou.gaye412@example.sn,Laptop,Kaolack,Standard,17,1158,1121,0%,2693
2026-01-15,Ndiaye,Ibrahima,ibrahima.ndiaye937@example.sn,Smartphone,Tambacounda,Standard,15,1316,314,0%,25421
2026-06-06,Cisse,Moussa,moussa.cisse588@example.sn,Imprimante,Thies,Standard,18,1279,572,0%,69620
2026-05-16,Sow,Moussa,moussa.sow636@example.sn,Souris,Tambacounda,Standard,9,834,53,5%,77314
2026-09-18,Diop,Fatou,fatou.diop378@example.sn,Ecran,Kolda,VIP,17,487,1064,0%,81810
2026-06-06,Ndiaye,Awa,awa.ndiaye809@example.sn,Laptop,Thies,Premium,11,1344,668,0%,33170
2026-02-16,Sow,Ibrahima,ibrahima.sow626@example.sn,Smartphone,Kolda,Standard,6,528,1038,5%,65946
2026-11-20,Diop,Awa,awa.diop990@example.sn,Clavier,Dakar,Premium,12,1069,816,0%,18353
2026-11-28,Fall,Omar,omar.fall546@example.sn,Souris,Fatick,VIP,11,1250,803,0%,84900
2026-06-22,Traore,Awa,awa.traore62@example.sn,Ecran,Louga,Premium,17,469,159,0%,78265
2026-05-10,Diallo,Awa,awa.diallo256@example.sn,Casque,Louga,Standard,10,831,772,0%,26098
2026-04-05,Diop,Seydou,seydou.diop346@example.sn,Souris,Thies,Standard,13,524,409,0%,73641
2026-04-25,Ndiaye,Khadija,khadija.ndiaye290@example.sn,Clavier,Dakar,Standard,5,1460,269,5%,81714
2026-08-31,Ndiaye,Amadou,amadou.ndiaye42@example.sn,Clavier,Tambacounda,Premium,4,917,175,0%,18023
2026-10-19,Traore,Khadija,khadija.traore808@example.sn,Clavier,Matam,Premium,7,1327,337,5%,29032
2026-10-09,Cisse,Ibrahima,ibrahima.cisse557@example.sn,Tablette,Matam,Standard,15,295,853,0%,34753
2026-10-26,Diallo,Ibrahima,ibrahima.diallo352@example.sn,Ecran,Thies,Standard,2,1463,914,5%,49421
2026-10-10,Gaye,Penda,penda.gaye900@example.sn,Imprimante,Kaolack,Premium,17,1455,655,0%,27824
2026-03-10,Diop,Awa,awa.diop248@example.sn,Clavier,Kaolack,Standard,8,583,561,0%,74807
2026-05-28,Cisse,Moussa,moussa.cisse501@example.sn,Casque,Thies,Standard,16,785,258,0%,32569
2026-01-11,Sow,Khadija,khadija.sow738@example.sn,Laptop,Kolda,Standard,3,396,542,0%,70793
2026-09-11,Gaye,Penda,penda.gaye186@example.sn,Smartphone,Kaolack,Standard,17,1272,835,0%,22693
2026-11-26,Diallo,Omar,omar.diallo53@example.sn,Souris,Kaolack,Standard,5,1304,1073,0%,1179
2026-12-26,Cisse,Amadou,amadou.cisse313@example.sn,Souris,Kaolack,Standard,14,1405,289,0%,27148
2026-02-07,Dramé,Awa,awa.dramé679@example.sn,Clavier,Ziguinchor,VIP,14,1409,921,0%,48632
2026-05-14,Gaye,Penda,penda.gaye278@example.sn,Smartphone,Tambacounda,Standard,14,279,1038,0%,57580
2026-07-19,Ba,Khadija,khadija.ba692@example.sn,Clavier,Matam,Premium,11,758,643,0%,78736
2026-01-23,Ba,Omar,omar.ba742@example.sn,Imprimante,Kaolack,Standard,13,1307,226,0%,4782
2026-10-30,Diop,Seydou,seydou.diop409@example.sn,Tablette,Saint-Louis,Premium,9,1442,419,0%,40210
2026-12-12,Diop,Mariama,mariama.diop751@example.sn,Smartphone,Dakar,Standard,2,1071,732,0%,24801
2026-10-29,Diop,Amadou,amadou.diop612@example.sn,Clavier,Thies,Standard,12,852,375,0%,57064
2026-12-29,Diallo,Ibrahima,ibrahima.diallo931@example.sn,Clavier,Kaolack,Standard,8,206,670,0%,934
2026-08-06,Dramé,Seydou,seydou.dramé980@example.sn,Casque,Kolda,Standard,16,251,1181,5%,49534
2026-05-21,Cisse,Awa,awa.cisse440@example.sn,Casque,Dakar,Standard,1,138,143,10%,61631
2026-04-14,Sow,Mariama,mariama.sow430@example.sn,Ecran,Louga,Standard,16,1388,988,10%,84786
2026-07-29,Fall,Mariama,mariama.fall140@example.sn,Casque,Louga,Standard,6,219,877,0%,57536
2026-04-21,Ndiaye,Amadou,amadou.ndiaye419@example.sn,Ecran,Tambacounda,Standard,6,1367,1158,5%,33393
2026-04-14,Sow,Moussa,moussa.sow747@example.sn,Tablette,Saint-Louis,Premium,3,1418,755,0%,12501
2026-11-12,Cisse,Seydou,seydou.cisse234@example.sn,Imprimante,Tambacounda,Standard,9,1436,738,0%,73125
2026-06-20,Dramé,Moussa,moussa.dramé152@example.sn,Ecran,Kolda,Standard,19,1253,290,0%,59631
2026-12-22,Diallo,Fatou,fatou.diallo587@example.sn,Smartphone,Tambacounda,Standard,3,557,704,0%,80476
2026-11-20,Gaye,Seydou,seydou.gaye549@example.sn,Tablette,Saint-Louis,VIP,7,538,970,0%,42147
2026-05-13,Sow,Omar,omar.sow134@example.sn,Laptop,Dakar,VIP,14,349,941,0%,67251
2026-10-20,Gaye,Awa,awa.gaye221@example.sn,Clavier,Thies,Standard,14,1063,194,0%,1805
2026-11-24,Fall,Seydou,seydou.fall943@example.sn,Clavier,Kaolack,Standard,3,1399,448,10%,50960
2026-05-07,Cisse,Seydou,seydou.cisse437@example.sn,Imprimante,Kaolack,VIP,5,126,581,5%,75892
2026-04-16,Dramé,Fatou,fatou.dramé446@example.sn,Clavier,Thies,VIP,5,1296,226,0%,6983
2026-04-02,Cisse,Amadou,amadou.cisse601@example.sn,Casque,Tambacounda,Standard,19,237,1104,0%,27694
2026-10-14,Ndiaye,Amadou,amadou.ndiaye247@example.sn,Clavier,Louga,Standard,10,812,267,0%,26565
2026-02-20,Diallo,Omar,omar.diallo653@example.sn,Ecran,Louga,Premium,9,949,975,0%,50644
2026-01-29,Ndiaye,Amadou,amadou.ndiaye337@example.sn,Casque,Saint-Louis,Standard,16,692,352,0%,84688
2026-10-23,Cisse,Mariama,mariama.cisse821@example.sn,Laptop,Dakar,Premium,9,527,736,5%,15270
2026-10-24,Ndiaye,Khadija,khadija.ndiaye128@example.sn,Tablette,Tambacounda,Standard,6,1096,1118,0%,16842
2026-08-02,Traore,Fatou,fatou.traore55@example.sn,Imprimante,Kolda,Standard,5,1110,41,0%,83972
2026-09-24,Cisse,Khadija,khadija.cisse93@example.sn,Tablette,Kaolack,Standard,4,67,932,0%,45662
2026-09-14,Dramé,Khadija,khadija.dramé803@example.sn,Ecran,Kolda,Standard,18,909,968,0%,67663
2026-10-29,Sow,Fatou,fatou.sow361@example.sn,Tablette,Ziguinchor,Standard,16,983,1034,0%,28317
2026-04-11,Dramé,Khadija,khadija.dramé22@example.sn,Casque,Fatick,VIP,7,1411,931,10%,50072
2026-12-12,Traore,Khadija,khadija.traore646@example.sn,Imprimante,Saint-Louis,Standard,14,121,196,5%,85195
2026-04-20,Sow,Khadija,khadija.sow846@example.sn,Souris,Saint-Louis,Standard,17,505,646,0%,67138
2026-07-01,Traore,Omar,omar.traore181@example.sn,Souris,Matam,Standard,8,1072,1145,0%,22352
2026-11-09,Sow,Ibrahima,ibrahima.sow243@example.sn,Smartphone,Dakar,Standard,11,168,696,0%,79028
2026-01-01,Dramé,Omar,omar.dramé190@example.sn,Souris,Matam,Standard,17,1440,910,5%,46915
2026-11-15,Cisse,Moussa,moussa.cisse60@example.sn,Imprimante,Matam,Premium,14,1441,125,0%,68677
2026-02-24,Diop,Seydou,seydou.diop790@example.sn,Smartphone,Saint-Louis,VIP,9,526,843,0%,31502
2026-05-29,Ba,Amadou,amadou.ba690@example.sn,Laptop,Dakar,Standard,6,630,255,0%,81311
2026-11-05,Ba,Fatou,fatou.ba404@example.sn,Smartphone,Kolda,Standard,8,956,682,0%,6071
2026-05-17,Traore,Mariama,mariama.traore942@example.sn,Laptop,Kaolack,Standard,17,1007,722,5%,67451
2026-07-21,Ba,Khadija,khadija.ba837@example.sn,Clavier,Fatick,Standard,13,962,196,10%,80621
2026-11-09,Dramé,Penda,penda.dramé809@example.sn,Ecran,Kolda,Standard,13,1150,1168,0%,20591
2026-04-27,Gaye,Fatou,fatou.gaye438@example.sn,Tablette,Saint-Louis,Standard,17,325,857,5%,34498
2026-06-03,Traore,Awa,awa.traore283@example.sn,Ecran,Ziguinchor,Standard,19,141,934,0%,36760
2026-10-18,Sow,Fatou,fatou.sow870@example.sn,Souris,Tambacounda,Standard,2,417,1159,0%,37530
2026-03-04,Diallo,Seydou,seydou.diallo216@example.sn,Casque,Saint-Louis,Standard,18,579,919,0%,76250
2026-09-01,Ndiaye,Mariama,mariama.ndiaye157@example.sn,Laptop,Ziguinchor,Standard,4,542,33,10%,50262
2026-01-25,Dramé,Fatou,fatou.dramé309@example.sn,Imprimante,Thies,Standard,7,974,274,10%,1288
2026-03-31,Sow,Mariama,mariama.sow941@example.sn,Imprimante,Kaolack,Standard,16,1396,1193,5%,15114
2026-03-16,Gaye,Fatou,fatou.gaye462@example.sn,Souris,Thies,Standard,19,151,1130,0%,31622
2026-10-21,Diallo,Omar,omar.diallo558@example.sn,Casque,Saint-Louis,Standard,15,320,923,0%,8460
2026-07-29,Ba,Omar,omar.ba682@example.sn,Casque,Ziguinchor,Standard,14,356,79,0%,40902
2026-12-13,Gaye,Ibrahima,ibrahima.gaye987@example.sn,Tablette,Kolda,Standard,13,436,682,0%,27950
2026-01-17,Traore,Moussa,moussa.traore392@example.sn,Ecran,Saint-Louis,Standard,7,326,721,0%,67148
2026-05-08,Fall,Fatou,fatou.fall796@example.sn,Clavier,Tambacounda,VIP,15,1006,1044,0%,73844
2026-12-30,Fall,Khadija,khadija.fall956@example.sn,Clavier,Louga,Premium,1,308,377,0%,59267
2026-09-08,Ba,Fatou,fatou.ba809@example.sn,Ecran,Kaolack,Premium,2,995,1007,5%,14122
2026-06-28,Fall,Awa,awa.fall627@example.sn,Smartphone,Kaolack,Standard,3,569,514,0%,26648
2026-07-01,Fall,Mariama,mariama.fall543@example.sn,Souris,Tambacounda,VIP,5,820,237,0%,41171
2026-06-01,Sow,Khadija,khadija.sow242@example.sn,Clavier,Tambacounda,Premium,16,1383,690,0%,69960
2026-01-25,Sow,Ibrahima,ibrahima.sow643@example.sn,Tablette,Ziguinchor,Standard,17,508,1003,0%,38628
2026-06-29,Ndiaye,Mariama,mariama.ndiaye138@example.sn,Souris,Fatick,Standard,18,929,660,0%,36136
2026-07-17,Cisse,Omar,omar.cisse831@example.sn,Casque,Kaolack,Standard,16,1459,121,0%,84587
2026-12-10,Ba,Penda,penda.ba738@example.sn,Laptop,Matam,Standard,11,978,698,0%,36690
2026-06-10,Fall,Khadija,khadija.fall669@example.sn,Laptop,Kolda,Premium,3,1273,1164,10%,56203
2026-06-26,Ndiaye,Omar,omar.ndiaye579@example.sn,Imprimante,Kolda,Standard,10,580,424,5%,13308
2026-10-12,Ba,Awa,awa.ba940@example.sn,Imprimante,Kolda,Premium,18,1475,1083,5%,42819
2026-03-04,Fall,Khadija,khadija.fall246@example.sn,Clavier,Thies,Standard,16,995,206,5%,55
2026-05-30,Dramé,Khadija,khadija.dramé591@example.sn,Imprimante,Saint-Louis,VIP,9,1158,542,0%,29138
2026-06-03,Diop,Khadija,khadija.diop975@example.sn,Smartphone,Ziguinchor,Standard,1,1095,159,0%,3889
2026-06-05,Dramé,Moussa,moussa.dramé710@example.sn,Laptop,Dakar,VIP,11,284,687,0%,81963
2026-02-18,Diallo,Khadija,khadija.diallo763@example.sn,Smartphone,Kaolack,Standard,11,899,164,0%,56685
2026-12-03,Ba,Moussa,moussa.ba584@example.sn,Laptop,Ziguinchor,Standard,13,439,802,0%,67077
2026-03-25,Cisse,Omar,omar.cisse494@example.sn,Smartphone,Kolda,Standard,8,1202,442,0%,41458
2026-12-27,Diallo,Ibrahima,ibrahima.diallo250@example.sn,Ecran,Matam,Standard,19,1466,32,0%,30047
2026-06-26,Ndiaye,Moussa,moussa.ndiaye966@example.sn,Smartphone,Dakar,Premium,9,513,170,0%,43128
2026-05-28,Ndiaye,Moussa,moussa.ndiaye706@example.sn,Casque,Saint-Louis,Standard,6,590,1120,0%,38447
2026-04-28,Fall,Khadija,khadija.fall780@example.sn,Tablette,Saint-Louis,Standard,4,78,1125,0%,23897
2026-12-08,Diallo,Ibrahima,ibrahima.diallo750@example.sn,Laptop,Louga,Standard,9,182,1168,10%,32773
2026-03-04,Fall,Khadija,khadija.fall232@example.sn,Souris,Kaolack,Standard,15,583,929,0%,12324
2026-07-08,Ba,Omar,omar.ba108@example.sn,Clavier,Kaolack,Standard,18,697,455,0%,32234
2026-12-26,Ndiaye,Khadija,khadija.ndiaye768@example.sn,Tablette,Dakar,Standard,4,131,617,0%,37089
2026-02-18,Diop,Amadou,amadou.diop566@example.sn,Casque,Tambacounda,VIP,19,925,304,0%,6514
2026-11-23,Ndiaye,Seydou,seydou.ndiaye920@example.sn,Casque,Kaolack,Premium,16,1057,1153,0%,53396
2026-09-14,Sow,Omar,omar.sow282@example.sn,Casque,Dakar,Premium,6,1023,1024,5%,66793
2026-08-12,Gaye,Fatou,fatou.gaye408@example.sn,Clavier,Ziguinchor,Standard,12,1164,111,0%,37722
2026-05-21,Cisse,Mariama,mariama.cisse526@example.sn,Imprimante,Saint-Louis,Standard,15,713,837,0%,32307
2026-08-03,Diallo,Mariama,mariama.diallo991@example.sn,Imprimante,Tambacounda,Standard,15,1149,789,10%,38866
2026-07-30,Fall,Ibrahima,ibrahima.fall439@example.sn,Laptop,Ziguinchor,Standard,15,1308,831,0%,16474
2026-11-14,Gaye,Amadou,amadou.gaye532@example.sn,Laptop,Saint-Louis,Standard,16,537,665,0%,75480
2026-02-01,Gaye,Moussa,moussa.gaye969@example.sn,Ecran,Ziguinchor,Standard,14,483,1060,5%,53396
2026-06-07,Dramé,Amadou,amadou.dramé357@example.sn,Imprimante,Kaolack,Premium,8,478,104,5%,45695
2026-10-12,Traore,Seydou,seydou.traore919@example.sn,Ecran,Kolda,Premium,2,1163,944,0%,75779
2026-11-01,Dramé,Omar,omar.dramé560@example.sn,Smartphone,Louga,VIP,15,626,504,0%,7019
2026-10-13,Dramé,Ibrahima,ibrahima.dramé460@example.sn,Smartphone,Tambacounda,Standard,8,1228,252,10%,61743
2026-05-24,Cisse,Amadou,amadou.cisse960@example.sn,Souris,Thies,Standard,11,496,1183,5%,6105
2026-01-19,Sow,Awa,awa.sow51@example.sn,Smartphone,Dakar,Premium,16,188,578,0%,31683
2026-01-18,Ndiaye,Moussa,moussa.ndiaye724@example.sn,Clavier,Dakar,Standard,8,1304,60,5%,39140
2026-09-14,Dramé,Amadou,amadou.dramé103@example.sn,Tablette,Dakar,Standard,5,91,268,5%,71728
2026-03-19,Ba,Ibrahima,ibrahima.ba495@example.sn,Ecran,Kolda,Premium,4,285,1010,0%,32874
2026-06-24,Ndiaye,Awa,awa.ndiaye526@example.sn,Laptop,Ziguinchor,Standard,12,397,743,0%,86211
2026-07-13,Sow,Fatou,fatou.sow573@example.sn,Smartphone,Kaolack,VIP,10,247,627,0%,19350
2026-04-23,Fall,Omar,omar.fall159@example.sn,Ecran,Tambacounda,Standard,4,1418,508,0%,44215
2026-04-24,Traore,Omar,omar.traore726@example.sn,Imprimante,Ziguinchor,Premium,19,111,936,0%,60444
2026-08-10,Ndiaye,Fatou,fatou.ndiaye821@example.sn,Clavier,Kolda,Standard,10,1461,403,0%,84369
2026-06-15,Diallo,Khadija,khadija.diallo508@example.sn,Clavier,Saint-Louis,Standard,19,1107,1001,5%,17179
2026-11-15,Cisse,Mariama,mariama.cisse380@example.sn,Imprimante,Saint-Louis,Standard,19,1066,529,10%,63144
2026-05-12,Gaye,Awa,awa.gaye990@example.sn,Souris,Thies,Standard,11,1355,259,0%,30526
2026-09-21,Fall,Moussa,moussa.fall708@example.sn,Smartphone,Matam,Standard,13,1304,1066,0%,26384
2026-02-24,Sow,Amadou,amadou.sow494@example.sn,Ecran,Fatick,Premium,2,422,428,0%,50175
2026-12-25,Dramé,Seydou,seydou.dramé674@example.sn,Imprimante,Thies,Premium,14,871,1071,0%,56926
2026-05-11,Ba,Mariama,mariama.ba392@example.sn,Ecran,Kaolack,Standard,18,460,198,0%,61840
2026-10-15,Ba,Ibrahima,ibrahima.ba637@example.sn,Souris,Fatick,Standard,16,728,1103,0%,43862
2026-09-23,Traore,Khadija,khadija.traore670@example.sn,Ecran,Dakar,Standard,4,1286,135,5%,23433
2026-06-11,Sow,Moussa,moussa.sow741@example.sn,Casque,Dakar,Standard,1,1350,1161,5%,11717
2026-03-28,Fall,Seydou,seydou.fall201@example.sn,Casque,Matam,Premium,3,270,226,0%,63898
2026-02-24,Diallo,Seydou,seydou.diallo754@example.sn,Casque,Louga,Standard,12,624,1181,0%,76618
2026-10-15,Gaye,Moussa,moussa.gaye845@example.sn,Smartphone,Thies,VIP,3,1036,70,0%,67885
2026-06-27,Dramé,Khadija,khadija.dramé230@example.sn,Clavier,Tambacounda,Standard,18,603,568,0%,21060
2026-12-15,Cisse,Ibrahima,ibrahima.cisse56@example.sn,Clavier,Tambacounda,Standard,4,810,728,5%,43076
2026-01-08,Diop,Fatou,fatou.diop136@example.sn,Laptop,Dakar,Premium,17,159,412,10%,63421
2026-11-17,Diop,Mariama,mariama.diop812@example.sn,Ecran,Saint-Louis,Standard,12,246,171,10%,37589
2026-11-09,Dramé,Penda,penda.dramé736@example.sn,Casque,Kaolack,Standard,8,933,960,0%,10688
2026-09-04,Fall,Penda,penda.fall16@example.sn,Smartphone,Ziguinchor,Standard,17,998,308,0%,19325
2026-11-19,Dramé,Khadija,khadija.dramé705@example.sn,Laptop,Tambacounda,Standard,14,433,51,0%,32147
2026-09-12,Sow,Seydou,seydou.sow125@example.sn,Clavier,Saint-Louis,Standard,11,502,463,5%,65870
2026-11-24,Diop,Amadou,amadou.diop573@example.sn,Ecran,Ziguinchor,Standard,8,156,54,5%,27978
2026-02-23,Traore,Fatou,fatou.traore375@example.sn,Ecran,Fatick,Standard,1,54,211,10%,31263
2026-09-06,Sow,Fatou,fatou.sow55@example.sn,Laptop,Kolda,Standard,17,1217,718,0%,28598
2026-08-27,Diop,Khadija,khadija.diop402@example.sn,Casque,Ziguinchor,Standard,18,186,132,0%,41104
2026-08-17,Diallo,Ibrahima,ibrahima.diallo963@example.sn,Imprimante,Kaolack,VIP,10,842,928,0%,9889
2026-03-08,Gaye,Khadija,khadija.gaye32@example.sn,Ecran,Tambacounda,Standard,9,215,694,5%,19387
2026-02-20,Ba,Amadou,amadou.ba140@example.sn,Ecran,Kolda,Standard,2,1138,524,0%,35515
2026-04-07,Sow,Omar,omar.sow136@example.sn,Imprimante,Matam,Standard,3,464,353,5%,50903
2026-04-02,Ba,Penda,penda.ba454@example.sn,Ecran,Ziguinchor,Standard,1,429,812,0%,10433
2026-09-21,Ba,Khadija,khadija.ba786@example.sn,Tablette,Kolda,Standard,1,1201,680,0%,24507
2026-10-18,Diop,Fatou,fatou.diop318@example.sn,Casque,Kolda,Premium,18,246,121,0%,47194
2026-04-06,Sow,Ibrahima,ibrahima.sow717@example.sn,Casque,Dakar,Standard,8,645,544,0%,80767
2026-03-29,Gaye,Penda,penda.gaye442@example.sn,Smartphone,Louga,Standard,18,201,154,0%,69896
2026-03-19,Diallo,Awa,awa.diallo482@example.sn,Tablette,Ziguinchor,Standard,1,750,1041,0%,39250
2026-10-15,Ndiaye,Moussa,moussa.ndiaye975@example.sn,Ecran,Louga,Standard,17,772,907,0%,34979
2026-04-30,Traore,Fatou,fatou.traore57@example.sn,Souris,Tambacounda,Standard,10,77,722,0%,80246
2026-10-29,Ba,Awa,awa.ba900@example.sn,Tablette,Saint-Louis,Standard,9,1133,294,0%,76252
2026-06-14,Gaye,Ibrahima,ibrahima.gaye91@example.sn,Tablette,Saint-Louis,VIP,10,143,364,0%,6666
2026-07-01,Cisse,Fatou,fatou.cisse118@example.sn,Clavier,Tambacounda,Standard,1,1048,133,0%,30387
2026-08-11,Cisse,Khadija,khadija.cisse272@example.sn,Laptop,Ziguinchor,Standard,16,896,469,0%,56444
2026-11-07,Ndiaye,Fatou,fatou.ndiaye876@example.sn,Clavier,Fatick,Premium,7,163,387,0%,28454
2026-01-07,Ndiaye,Ibrahima,ibrahima.ndiaye40@example.sn,Souris,Kaolack,VIP,3,890,649,5%,61911
2026-11-26,Ndiaye,Fatou,fatou.ndiaye367@example.sn,Tablette,Louga,Standard,17,1197,896,0%,68442
2026-09-20,Traore,Amadou,amadou.traore577@example.sn,Smartphone,Ziguinchor,VIP,9,306,290,0%,41023
2026-06-10,Traore,Seydou,seydou.traore489@example.sn,Souris,Thies,Premium,15,62,425,0%,12199
2026-05-31,Diallo,Awa,awa.diallo876@example.sn,Ecran,Dakar,Standard,8,789,626,0%,28011
2026-03-26,Ba,Omar,omar.ba198@example.sn,Casque,Louga,Standard,4,1267,439,0%,54101
2026-05-27,Fall,Seydou,seydou.fall997@example.sn,Imprimante,Ziguinchor,Standard,19,603,167,0%,30842
2026-04-22,Cisse,Ibrahima,ibrahima.cisse14@example.sn,Ecran,Kolda,Standard,2,1258,451,0%,6064
2026-02-05,Diop,Penda,penda.diop295@example.sn,Casque,Fatick,Standard,2,84,181,0%,78569
2026-10-12,Diop,Amadou,amadou.diop799@example.sn,Clavier,Dakar,VIP,13,598,1169,0%,36986
2026-07-07,Ndiaye,Awa,awa.ndiaye666@example.sn,Ecran,Tambacounda,Standard,19,1148,764,0%,64687
2026-03-23,Dramé,Ibrahima,ibrahima.dramé403@example.sn,Souris,Louga,Premium,1,299,76,5%,8053
2026-01-02,Cisse,Awa,awa.cisse464@example.sn,Clavier,Fatick,Premium,15,1093,398,0%,77504
2026-10-30,Fall,Fatou,fatou.fall717@example.sn,Smartphone,Saint-Louis,Standard,2,296,219,0%,39028
2026-07-16,Fall,Mariama,mariama.fall435@example.sn,Casque,Kolda,VIP,16,874,795,10%,5409
2026-01-11,Diop,Khadija,khadija.diop36@example.sn,Ecran,Thies,Premium,14,1239,898,5%,37632
2026-08-22,Dramé,Seydou,seydou.dramé136@example.sn,Clavier,Dakar,Standard,6,1376,994,5%,33321
2026-07-14,Fall,Fatou,fatou.fall144@example.sn,Ecran,Tambacounda,Premium,11,1422,468,0%,7995
2026-04-29,Cisse,Moussa,moussa.cisse544@example.sn,Laptop,Tambacounda,Standard,14,177,1016,10%,4066
2026-01-20,Ba,Penda,penda.ba340@example.sn,Clavier,Kolda,Standard,4,1422,850,5%,5468
2026-09-18,Gaye,Moussa,moussa.gaye638@example.sn,Clavier,Fatick,Standard,17,1309,263,0%,65681
2026-10-20,Dramé,Moussa,moussa.dramé401@example.sn,Tablette,Tambacounda,Premium,16,683,1118,0%,69850
2026-09-13,Fall,Amadou,amadou.fall17@example.sn,Laptop,Dakar,Premium,6,423,143,0%,25460
2026-08-10,Dramé,Omar,omar.dramé622@example.sn,Laptop,Kaolack,Standard,8,1306,80,5%,23186
2026-08-14,Dramé,Seydou,seydou.dramé270@example.sn,Ecran,Tambacounda,Standard,13,972,403,0%,27301
2026-02-22,Ba,Mariama,mariama.ba208@example.sn,Smartphone,Saint-Louis,Standard,4,1042,1069,0%,24962
2026-12-21,Cisse,Fatou,fatou.cisse607@example.sn,Imprimante,Fatick,Standard,16,643,219,0%,7028
2026-12-08,Diop,Moussa,moussa.diop749@example.sn,Ecran,Ziguinchor,Standard,17,113,66,0%,62066
2026-12-30,Ba,Moussa,moussa.ba395@example.sn,Tablette,Kolda,VIP,4,1079,474,0%,34405
2026-10-07,Fall,Penda,penda.fall481@example.sn,Laptop,Saint-Louis,VIP,16,848,726,0%,12563
2026-03-22,Ndiaye,Mariama,mariama.ndiaye188@example.sn,Tablette,Louga,Standard,2,1277,202,0%,46200
2026-07-21,Ba,Mariama,mariama.ba459@example.sn,Tablette,Tambacounda,Standard,13,648,1141,0%,26392
2026-06-07,Ndiaye,Mariama,mariama.ndiaye249@example.sn,Casque,Thies,Premium,3,206,667,0%,18665
2026-04-30,Sow,Fatou,fatou.sow533@example.sn,Ecran,Saint-Louis,Premium,10,436,415,0%,52
2026-02-28,Diop,Seydou,seydou.diop824@example.sn,Laptop,Kaolack,Standard,18,920,508,0%,6348
2026-08-03,Cisse,Seydou,seydou.cisse755@example.sn,Casque,Louga,Standard,3,1293,834,0%,22411
2026-05-08,Gaye,Fatou,fatou.gaye192@example.sn,Ecran,Dakar,VIP,1,1283,979,0%,7748
2026-08-12,Dramé,Amadou,amadou.dramé803@example.sn,Clavier,Louga,Standard,11,1181,314,5%,68491
2026-07-28,Ndiaye,Fatou,fatou.ndiaye367@example.sn,Imprimante,Kaolack,VIP,5,197,777,0%,65489
2026-04-25,Gaye,Khadija,khadija.gaye385@example.sn,Ecran,Matam,VIP,3,769,235,0%,7234
2026-07-28,Gaye,Ibrahima,ibrahima.gaye950@example.sn,Clavier,Kolda,Standard,11,1131,404,0%,84277
2026-01-14,Ndiaye,Khadija,khadija.ndiaye711@example.sn,Casque,Matam,VIP,1,1317,965,0%,30595
2026-01-09,Gaye,Amadou,amadou.gaye847@example.sn,Clavier,Matam,Standard,15,106,142,0%,84202
2026-02-09,Dramé,Amadou,amadou.dramé736@example.sn,Casque,Thies,Standard,7,120,808,0%,70674
2026-08-25,Diallo,Fatou,fatou.diallo779@example.sn,Ecran,Tambacounda,Standard,2,546,983,0%,21332
